PDFname: CT14HERA2NNLO
 DATA SET: 542; Expt Name: CMS7jtR7y6; Expt Npt: 158;
!METADATA
{542, CMS7jtR7y6,     Pt         Ymn      Ymx          Exp      Th./Norm     TotErr     EXP/FIT  ERR/FIT    ChiSq  Shift    ShiftedData  UnCorErr  ReducedChi2  lob/lio, 1., 158, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465, 3.53946, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465}
!DATA
ipt   x            Q       Exp        TotErr       ShiftedData   UnCorErr     r_1           r_2          r_3          r_4            r_5           r_6          r_7           r_8           r_9           r_10         r_11         r_12         r_13          r_14         r_15         r_16         r_17         r_18          r_19           r_20          r_21          r_22          r_23          r_24         r_25          r_26          r_27          r_28           r_29         r_30         r_31          r_32         r_33         r_34         r_35         r_36          r_37          r_38         r_39          r_40          r_41           r_42         r_43          r_44         r_45          r_46         r_47         r_48         r_49          r_50          r_51          r_52         r_53         r_54          r_55         r_56         r_57
21    0.217184     1184.   0.302      0.01884      0.3285        0.003253     -0.115278     -0.149093    -0.0919152   -0.0193667     -0.172149     -0.0965263   -0.111589     -0.372272     0.141715      -0.167538    -0.0697817   -0.136182    -0.0777744    -0.157701    -0.0876114   -0.129419    -0.0906855   -0.0710114    -0.156164      0.0190593     -0.20043      -0.101752     -0.146634     -0.0507224   -0.181986     -0.215186     -0.00338149   0.0501076      -0.254227    -0.115278    -0.123271     -0.0685521   -0.149401    -0.110667    -0.0762373   -0.231786     0.0442668     -0.227482    -0.0384261    0.0113741     -0.151245      -0.166001    -0.0971411    -0.185982    0.0193667     -0.165386    -0.0830003   -0.0793114   0.0743929     -0.0442668    -0.102674     0.0725484    0.28589      -0.0962189    -0.0694743   -0.10206     -0.0983707
22    0.234059     1276.   0.177      0.01173      0.193         0.001979     0.419404      0.364831     0.440121     0.496716       0.366852      0.425973     0.456291      0.286508      0.757453      0.375442     0.451743     0.385548     0.508338      0.387064     0.467408     0.386559     0.451238     0.44568       0.425467       0.57908       0.307226      0.541182      0.347145      0.451743     0.407276      0.186458      0.686205      0.608388       0.235472     0.434058     0.45528       0.514401     0.344618     0.384032     0.507327     0.271854      0.670035      0.31329      0.481556      0.576049      0.388075       0.474482     0.369378      0.359778     0.59525       0.382011     0.493178     0.430015     0.654371      0.515917      0.436584      0.607883     0.891865     0.450733      0.525518     0.430015     0.444669
23    0.251669     1372.   0.105      0.007267     0.1144        0.001282     0.351794      0.266771     0.316693     0.375195       0.194228      0.377535     0.332293      0.399376      0.605304      0.347894     0.372855     0.24727      0.414197      0.268331     0.374415     0.281591     0.376755     0.340874      0.355694       0.526521      0.191108      0.514821      0.196568      0.23947      0.446178      0.00234009    0.677067      0.5078         0.193448     0.322933     0.360374      0.436037     0.270671     0.303432     0.465679     0.233229      0.564743      0.300312     0.357254      0.50156       0.276131       0.586583     0.205928      0.276911     0.516381      0.359594     0.388456     0.276911     0.551482      0.427457      0.352574      0.361934     0.718409     0.380655      0.435257     0.332293     0.326053
24    0.270379     1474.   0.0627     0.004528     0.0684        0.0008032    -0.361305     -0.443476    -0.442231    -0.402764      -0.438496     -0.37886     -0.320344     -0.191111     -0.103959     -0.323954    -0.377241    -0.430154    -0.315862     -0.435508    -0.306399    -0.465762    -0.272908    -0.356823     -0.352092      -0.173182     -0.503362     -0.145543     -0.528137     -0.512699    -0.163222     -0.748506     0.0882719     -0.169074      -0.549552    -0.430154    -0.331673     -0.267804    -0.464641    -0.456175    -0.227963    -0.503984     -0.157122     -0.365662    -0.361305     -0.17866      -0.40625       -0.0489293   -0.505229     -0.409114    -0.183391     -0.305652    -0.353088    -0.380603    -0.110309     -0.259462     -0.341135     -0.339268    -0.0703436   -0.316858     -0.301419    -0.325448    -0.377366
25    0.289823     1580.   0.0369     0.00279      0.04029       0.0005479    -0.184888     -0.288191    -0.318306    -0.323417      -0.194379     -0.217193    -0.148385     0.20898       -0.0162438    -0.091075    -0.228509    -0.251141    -0.145647     -0.271035    -0.11535     -0.320131    -0.0810367   -0.214273     -0.146742      0.00456288    -0.33674      0.084322      -0.38821      -0.417777    0.116992      -0.602482     0.325607      -0.0381456     -0.338565    -0.279978    -0.140537     -0.0978281   -0.2975      -0.291294    -0.0447162   -0.291659     -0.0505567    -0.128673    -0.225406     -0.00930827   -0.228874      0.250411     -0.378354     -0.218836    -0.0474539    -0.0817667   -0.217375    -0.224676    0.00109509    -0.0803066    -0.1858       -0.207155    -0.0934477   -0.114254     -0.14948     -0.151305    -0.210075
26    0.310367     1692.   0.0217     0.001733     0.02371       0.0003558    -0.102305     -0.212479    -0.260821    -0.275717      -0.0654862    -0.16751     -0.0385048    0.407813      0.0654862     0.0233277    -0.168072    -0.164418    -0.0587409    -0.1914      -0.0179876   -0.256043    0.0281057    -0.135469     -0.054525      0.109893      -0.253513     0.209668      -0.331647     -0.412029    0.279933      -0.557617     0.464868      0.0326026      -0.219786    -0.219786    -0.0458123    -0.0207982   -0.211074    -0.215289    0.0390669    -0.182406     0.000281057   0.0140528    -0.167791     0.0778527     -0.135469      0.408938     -0.297639     -0.11692     0.0413153     0.0404722    -0.129286    -0.123946    0.0370995     0.0112423     -0.111861     -0.137156    -0.146993    -0.00365374   -0.0854413   -0.074199    -0.116639
27    0.332012     1810.   0.0129     0.001092     0.01405       0.0002542    -0.90598      -1.02596     -1.08222     -1.13415       -0.872935     -0.977183    -0.885917     -0.330448     -0.863493     -0.785602    -1.01101     -0.970889    -0.88513      -1.01023     -0.855232    -1.05862     -0.806452    -0.961448     -0.872541      -0.763179     -1.04603      -0.61133      -1.12707      -1.22974     -0.511408     -1.3273       -0.426436     -0.861133      -0.999607    -1.02636     -0.88631      -0.830448    -1.02518     -1.0059      -0.831629    -0.955153     -0.876475     -0.775767    -1.02675      -0.775374     -0.90716       -0.400865    -1.11487      -0.915028    -0.824154     -0.786389    -0.949253    -0.943745    -0.83753      -0.854052     -0.93391      -1.01377     -1.09638     -0.836743     -0.915814    -0.875295    -0.922502
28    0.354758     1934.   0.00737    0.0006631    0.008053      0.000178     -0.358876     -0.437247    -0.518652    -0.566798      -0.26764      -0.43309     -0.303258     0.171348      -0.297865     -0.205112    -0.440506    -0.400337    -0.348427     -0.439888    -0.295393    -0.481685    -0.24118     -0.400225     -0.30382       -0.211404     -0.473483     -0.0782584    -0.565337     -0.65236     0.0106742     -0.695899     0.0810112     -0.332697      -0.389101    -0.453652    -0.311685     -0.296573    -0.426854    -0.419045    -0.28691     -0.361966     -0.358933     -0.200281    -0.453596     -0.259157     -0.357191      0.100169     -0.52118      -0.344944    -0.294663     -0.217135    -0.399326    -0.333652    -0.353315     -0.286966     -0.369326     -0.403708    -0.621966    -0.257528     -0.381404    -0.323146    -0.372303
29    0.378604     2064.   0.00416    0.000405     0.004566      0.0001232    0.00357143    -0.0461039   -0.121591    -0.178328      0.100731      -0.0599026   0.0539773     0.503896      -0.0086039    0.144805     -0.0633117   -0.0178571   -0.00121753   -0.0538149   0.0496753    -0.0866071   0.103409     -0.0390422    0.0577922      0.0918019     -0.0627435    0.236445      -0.160552     -0.252435    0.336445      -0.234416     0.323539      -0.0168831     0.0269481    -0.0736201   0.0425325     0.0430195    -0.037013    -0.0181818   0.0305195    0.042289      -0.0481331    0.165666     -0.087013     0.0491071     0.026461       0.385308     -0.109253     0.0310065    0.0191558     0.13961      -0.0386364   0.0291396    -0.0512175    0.0499188     -0.00746753   -0.0690747   -0.336607    0.0914773     -0.0391234   0.0323052    -0.00803571
30    0.403918     2202.   0.00227    0.0002402    0.0025        0.00008721   0.882353      0.849329     0.772732     0.715514       0.975232      0.825135     0.922257      1.36819       0.816191      1.01112      0.810916     0.87811      0.865268      0.84738      0.912854     0.80782      0.963536     0.841188      0.942323       0.932462      0.837404      1.08141       0.750831      0.640638     1.1822        0.707258      1.13106       0.815847       0.940488     0.821465     0.91939       0.910217     0.859764     0.882582     0.879372     0.949547      0.789474      1.04827      0.785919      0.897259      0.909185       1.21202      0.795436      0.920537     0.855406      1.00608      0.838207     0.901158     0.78374       0.90735       0.865382      0.789703     0.490081     0.958147      0.834423     0.911707     0.877881
31    0.429965     2344.   0.00145    0.0001664    0.001579      0.00006689   -2.20347      -2.23651     -2.28629     -2.34071       -2.13888      -2.24443     -2.1803       -1.81866      -2.27657      -2.11183     -2.26312     -2.20152     -2.22081      -2.23113     -2.17865     -2.24847     -2.14935     -2.2386       -2.16774       -2.18583      -2.21842      -2.06174      -2.3123       -2.38675     -1.971        -2.32172      -2.04126      -2.27867       -2.13006     -2.26132     -2.18104      -2.19226     -2.2102      -2.19749     -2.22096     -2.13679      -2.30872      -2.06384     -2.28315      -2.21677      -2.17925       -1.97145     -2.25759      -2.17895     -2.24368      -2.10465     -2.24279     -2.19091     -2.3135       -2.19016      -2.21558      -2.30333     -2.55853     -2.16325      -2.24294     -2.18837     -2.20466
32    0.457847     2496.   0.000792   0.0001011    0.0008641     0.00004816   -1.6983       -1.70878     -1.757       -1.79776       -1.63704      -1.73358     -1.68301      -1.39149      -1.80056      -1.62529     -1.73983     -1.68758     -1.72419      -1.7135      -1.68904     -1.72919     -1.6631      -1.72662      -1.66491       -1.70756      -1.70021      -1.60289      -1.76381      -1.83868     -1.52571      -1.74855      -1.6223       -1.79045       -1.61146     -1.73169     -1.68148      -1.70407     -1.69005     -1.67047     -1.74188     -1.61532      -1.81574      -1.57998     -1.76649      -1.73964      -1.67035       -1.54564     -1.71449      -1.66485     -1.75847      -1.61991     -1.74068     -1.67849     -1.82141      -1.69888      -1.72294      -1.78135     -2.03287     -1.66883      -1.74321     -1.68731     -1.70058
33    0.486829     2654.   0.000327   0.0000489    0.0003658     0.00002928   1.72363       1.72097      1.67391      1.63818        1.78453       1.69317      1.73593       2.00949       1.61926       1.78747      1.68702      1.73907      1.69413       1.71489      1.73159      1.70034      1.75605      1.69894       1.75444        1.71161       1.72435       1.80943       1.66762       1.59488      1.88569       1.70113       1.77012       1.61844        1.82534      1.69614      1.73876       1.71113      1.74013      1.76831      1.66458      1.81708       1.59331       1.83883      1.66072       1.66913       1.75536        1.84669      1.72923       1.76113      1.65287       1.80003      1.68344      1.75362      1.58777       1.72237       1.69495       1.65191      1.38651      1.74949       1.67394      1.73641      1.72148
