PDFname: CT14HERA2NNLO
 DATA SET: 542; Expt Name: CMS7jtR7y6; Expt Npt: 158;
!METADATA
{542, CMS7jtR7y6,     Pt         Ymn      Ymx          Exp      Th./Norm     TotErr     EXP/FIT  ERR/FIT    ChiSq  Shift    ShiftedData  UnCorErr  ReducedChi2  lob/lio, 1., 158, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465, 3.53946, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465}
!DATA
ipt   x            Q       Exp        TotErr       ShiftedData   UnCorErr     r_1           r_2          r_3          r_4            r_5           r_6          r_7           r_8           r_9           r_10         r_11         r_12         r_13          r_14         r_15         r_16         r_17         r_18          r_19           r_20          r_21          r_22          r_23          r_24         r_25          r_26          r_27          r_28           r_29         r_30         r_31          r_32         r_33         r_34         r_35         r_36          r_37          r_38         r_39          r_40          r_41           r_42         r_43          r_44         r_45          r_46         r_47         r_48         r_49          r_50          r_51          r_52         r_53         r_54          r_55         r_56         r_57
75    0.0732972    168.    28150.        2049.        30700.        339.5        -1.60029      -1.57202     -1.5405      -1.74138      -1.70133      -1.59882     -1.63152     -1.13549     -1.92872     -1.5299      -1.61031      -1.53432      -1.63859      -1.557        -1.63093      -1.58292      -1.59381     -1.63741      -1.56701     -1.86775      -1.319       -1.5944      -1.57614     -1.73108     -1.43063      -1.76377      -1.44801      -1.71105     -1.49278       -1.65803     -1.57585      -1.55876     -1.63063      -1.66657     -1.55228      -1.50722       -1.72342     -1.39381     -1.6975      -1.61915      -1.60118      -1.35641      -1.66627      -1.61649     -1.57172     -1.50368     -1.65214     -1.80854      -1.6539      -1.78733      -1.52577     -2.10574     -2.05567      -1.70074       -1.41767     -1.60677      -1.5891
76    0.0846408    194.    14476.        1008.        15720.        190.1        -2.63809      -2.60757     -2.57075     -2.71804      -2.6323       -2.61862     -2.67912     -2.35034     -2.97738     -2.57549     -2.61284      -2.57233      -2.66281      -2.56654      -2.68701      -2.60389      -2.62336     -2.66965      -2.6181      -2.85797      -2.36718     -2.71015     -2.56549     -2.68017     -2.57391      -2.65176      -2.61547      -2.7454      -2.50342       -2.66228     -2.60389      -2.64755     -2.62125      -2.64335     -2.61547      -2.54813       -2.7475      -2.51131     -2.70805     -2.68385      -2.60442      -2.53025      -2.64913      -2.63335     -2.64019     -2.56602     -2.65229     -2.79327      -2.7575      -2.77906      -2.57338     -2.97685     -3.04997      -2.7112        -2.50342     -2.65334      -2.5839
77    0.0994748    228.    6617.2        440.6        7161.         100.6        -2.1997       -2.167       -2.14404     -2.2661       -2.17038      -2.20726     -2.22296     -2.08042     -2.47853     -2.16869     -2.20954      -2.14225      -2.24205      -2.14632      -2.24861      -2.15219      -2.23131     -2.22087      -2.17654     -2.40785      -2.00865     -2.30726     -2.1159      -2.1835      -2.23787      -2.0994       -2.33032      -2.31034     -2.08678       -2.2007      -2.19881      -2.21819     -2.17883      -2.20596     -2.21928      -2.10755       -2.32753     -2.10835     -2.25        -2.27247      -2.18052      -2.22594      -2.18877      -2.19702     -2.2507      -2.18897     -2.21412     -2.28787      -2.33668     -2.3336       -2.17078     -2.4327      -2.53956      -2.2675        -2.13499     -2.22366      -2.17555
78    0.116054     266.    2861.         183.7        3083.         56.82        -1.26346      -1.23566     -1.20908     -1.28036      -1.23143      -1.2647      -1.28089     -1.27015     -1.43928     -1.25202     -1.25026      -1.21595      -1.28388      -1.21823      -1.29162      -1.22351      -1.28986     -1.25748      -1.2529      -1.41235      -1.12284     -1.36167     -1.17511     -1.20239     -1.34002      -1.13763      -1.4113       -1.34741     -1.18831       -1.24481     -1.25924      -1.28282     -1.22774      -1.24287     -1.2881       -1.19641       -1.35269     -1.22774     -1.29215     -1.32172      -1.24639      -1.35445      -1.22545      -1.26346     -1.29391     -1.26329     -1.26628     -1.29426      -1.36924     -1.34935      -1.23407     -1.37962     -1.46128      -1.29919       -1.2221      -1.28194      -1.2397
79    0.133506     306.    1295.4        76.14        1390.         14.35        -1.96934      -1.93868     -1.84181     -1.92892      -1.91707      -1.97979     -2.02578     -2.15052     -2.21882     -2.02439     -1.97422      -1.92753      -2.01185      -1.89338      -2.01742      -1.88223      -2.0662      -1.98955      -1.98815     -2.1777       -1.80627     -2.17979     -1.79303     -1.81324     -2.12334      -1.74634      -2.32334      -2.13101     -1.88293       -1.92195     -1.96516      -2.03554     -1.9108       -1.90244     -2.08223      -1.89129       -2.10244     -1.95819     -2.00976     -2.08014      -1.96794      -2.22091      -1.87875      -1.98606     -2.0676      -1.99164     -2.00209     -2.01045      -2.17143     -2.08571      -1.91707     -2.05714     -2.24948      -2.06202       -1.90105     -2.03484      -1.94495
80    0.15183      348.    619.78        34.65        662.8         7.477        -1.27765      -1.23325     -1.17347     -1.22242      -1.25117      -1.27123     -1.30694     -1.5101      -1.43921     -1.33409     -1.25023      -1.23084      -1.31617      -1.21653      -1.32446      -1.2069       -1.34787     -1.26401      -1.30413     -1.44389      -1.14912     -1.48616     -1.13294     -1.12759     -1.48402      -1.02555      -1.59181      -1.37515     -1.19085       -1.24007     -1.30387      -1.33342     -1.22161      -1.19179     -1.38358      -1.20543       -1.37956     -1.29477     -1.27337     -1.37421      -1.25505      -1.55771      -1.17173      -1.27591     -1.34064     -1.32807     -1.27605     -1.27712      -1.41781     -1.37863      -1.2604      -1.29651     -1.40511      -1.3377        -1.25385     -1.31095      -1.25398
81    0.171027     392.    311.7         16.66        332.4         4.28         -1.34836      -1.32103     -1.27734     -1.27196      -1.32547      -1.32874     -1.36519     -1.6035      -1.41332     -1.39743     -1.31612      -1.31379      -1.36869      -1.31402      -1.38621      -1.3          -1.41145     -1.32897      -1.38061     -1.4535       -1.27079     -1.52009     -1.24065     -1.19977     -1.53037      -1.14252      -1.6264       -1.41495     -1.29486       -1.31168     -1.36192      -1.38925     -1.30047      -1.27453     -1.44206      -1.31495       -1.40911     -1.40047     -1.31799     -1.42804      -1.33621      -1.59766      -1.24229      -1.34416     -1.38107     -1.4028      -1.34299     -1.33178      -1.43738     -1.38832      -1.34019     -1.28107     -1.3757       -1.375         -1.33575     -1.38692      -1.32407
82    0.191969     440.    157.81        8.161        168.          2.557        0.0915135     0.111068     0.143919     0.157215      0.0801721     0.0813453    0.0426281    -0.168166    0.0402816    0.0246382    0.0977708     0.100899      0.0789988     0.0973797     0.0660931     0.111068      0.0172077    0.113805      0.037544     0.009386      0.0989441    -0.056316    0.148221     0.190849     -0.0629644    0.236996      -0.127493     0.0602268    0.0997262      0.103637     0.0402816     0.0481032    0.116543      0.136097     -0.00977708   0.0872116      0.0359797    0.0265937    0.109503     0.0222917     0.0723504     -0.156042     0.185373      0.0743058    0.0367618    0.0410637    0.0997262    0.0852562     0.0351975    0.0484943     0.0911224    0.156042     0.107548      0.0688307      0.0680485    0.0672663     0.0746969
83    0.213784     490.    82.799        3.959        87.92         0.8706       0.485527      0.510338     0.555479     0.612681      0.479899      0.522513     0.458419     0.149667     0.493912     0.391914     0.520446      0.492304      0.481392      0.510912      0.457386      0.539858      0.425683     0.514932      0.442683     0.458075      0.483575     0.338732     0.582702     0.654147     0.270503      0.705835      0.203078      0.468413     0.493568       0.536871     0.456467      0.438548     0.544108      0.558695     0.405467      0.490351       0.484034     0.3779       0.548472     0.419366      0.489547      0.177464      0.611417      0.488858     0.435906     0.423271     0.487595     0.518723      0.481392     0.494142      0.469791     0.641856     0.665518      0.450149       0.478176     0.45348       0.494716
84    0.237343     544.    44.778        2.039        47.39         0.4874       -0.0274928    -0.0125154   0.00451375   0.0820681     -0.0730406    0.0166188    -0.0539598   -0.310423    0.0106689    -0.117152    0.000820681   -0.0338531    -0.0287238    -0.0283135    -0.0381617    -0.00738613   -0.0783751   -0.00615511   -0.0724251   -0.0139516    -0.0794009   -0.123307    0.0270825    0.105458     -0.194296     0.128847      -0.239639     -0.0207222   -0.0492409     0.00430858   -0.0521133    -0.0658597   0.0133361     0.0114895    -0.0826836    -0.0531391     -0.0102585   -0.149159    0.0313911    -0.0619614    -0.0223636    -0.26467      0.06627       -0.0330324   -0.0755027   -0.0631924   -0.0338531   -0.0112844    0.00779647   0.0129257     -0.0521133   0.129462     0.20517       -0.0621666     -0.0502667   -0.0465737    -0.0320066
85    0.261776     600.    24.628        1.079        25.99         0.283        -0.668905     -0.668198    -0.650883    -0.587633     -0.707067     -0.647703    -0.690106    -0.832155    -0.601767    -0.745936    -0.638163     -0.694346     -0.665371     -0.681272     -0.683392     -0.653357     -0.680212    -0.648057     -0.69364     -0.616608     -0.755124    -0.705654    -0.645583    -0.594346    -0.768198     -0.613428     -0.751237     -0.615901    -0.70318       -0.647703    -0.687633     -0.69788     -0.645583     -0.655477    -0.683039     -0.701413      -0.609187    -0.763958    -0.597527    -0.675972     -0.679505     -0.818021     -0.615548     -0.670318    -0.686926    -0.674558    -0.669611    -0.641696     -0.599293    -0.59364      -0.706714    -0.542049    -0.416608     -0.695053      -0.696466    -0.680565     -0.668198
86    0.287953     660.    13.489        0.5589       14.22         0.1425       0.679298      0.68         0.651228     0.738246      0.637895      0.691228     0.644912     0.604912     0.814035     0.66807      0.727719      0.626667      0.702456      0.658947      0.709474      0.672982      0.650526     0.734737      0.654737     0.812632      0.577544     0.716491     0.636491     0.717193     0.635789      0.670877      0.701053      0.730526     0.629474       0.691228     0.700351      0.649825     0.659649      0.682105     0.747368      0.645614       0.752281     0.607018     0.719298     0.692632      0.715789      0.611228      0.703158      0.69614      0.710877     0.715088     0.702456     0.676491      0.82807      0.774035      0.631579     0.839298     0.988772      0.656842       0.677193     0.710175      0.710877
87    0.315876     724.    7.5681        0.3008       7.957         0.0827       0.242201      0.216566     0.173277     0.268924      0.233978      0.268924     0.241596     0.252237     0.372551     0.235792     0.235429      0.192624      0.279323      0.210762      0.259734      0.209311      0.265175     0.249698      0.236397     0.401451      0.0932285    0.326723     0.176179     0.221161     0.279807      0.189238      0.304837      0.320919     0.169649       0.239782     0.241717      0.251632     0.229504      0.195284     0.300121      0.174607       0.339299     0.169287     0.28283      0.283555      0.239903      0.291898      0.208585      0.252721     0.255985     0.258283     0.238089     0.260459      0.366626     0.366022      0.200121     0.377388     0.517775      0.272189       0.203386     0.243652      0.23821
88    0.344671     790.    4.2767        0.1639       4.489         0.04942      0.0977337     0.0706192    0.00424929   0.0768919     0.120194      0.10866      0.117564     0.205787     0.231688     0.13537      0.0770943     0.0469446     0.137191      0.0578713     0.140631      0.0526103     0.15257      0.096722      0.110077     0.286726      -0.0511938   0.234318     0.0121408    0.0311615    0.195265      0.00991501    0.246257      0.186969     0.0313638      0.0904492    0.114731      0.126872     0.0777013     0.0447187    0.194051      0.0281263      0.199312     0.0700121    0.123634     0.176042      0.100567      0.237353      0.033792      0.112505     0.127883     0.13962      0.103197     0.128895      0.21206      0.229664      0.0556455    0.216309     0.31121       0.15176        0.0542291    0.109268      0.0936868
89    0.375212     860.    2.4241        0.08886      2.54          0.02582      0.833075      0.78079      0.662277     0.74206       0.884198      0.800155     0.855926     1.01936      0.967467     0.870643     0.795895      0.77072       0.859024      0.778466      0.858637      0.735476      0.900465     0.785438      0.853989     1.01046       0.646011     1.00658      0.671185     0.679318     0.981797      0.661503      1.02479       0.919442     0.731603       0.808288     0.819132      0.867157     0.779628      0.729667     0.939582      0.734702       0.934934     0.82378      0.821069     0.908211      0.826878      1.03563       0.720759      0.831139     0.864446     0.886909     0.823393     0.845856      0.943842     0.969016      0.780015     0.926801     0.970565      0.907436       0.758327     0.830364      0.806352
90    0.40837      936.    1.3773        0.04894      1.44          0.01526      0.872215      0.779817     0.731324     0.709699      0.954784      0.849279     0.877457     1.06815      0.986239     0.965269     0.801442      0.783748      0.927916      0.833552      0.895806      0.811271      0.973788     0.853866      0.935125     1.07864       0.680865     1.06029      0.689384     0.698558     1.03145       0.693971      1.1291        0.967235     0.817169       0.798165     0.870249      0.882045     0.805374      0.762123     0.988204      0.817824       0.944954     0.888598     0.83945      0.958716      0.84076       1.11337       0.749017      0.889908     0.932503     0.901704     0.88401      0.911533      0.959371     0.965269      0.85059      0.967235     0.885321      0.969856       0.777851     0.906946      0.846658
91    0.442401     1014.   0.7977        0.02774      0.8318        0.009375     -0.92096      -0.98784     -1.07371     -1.09344      -0.760107     -0.984107    -0.871573    -0.669547    -0.81152     -0.817813    -0.986667     -0.981547     -0.891093     -0.992427     -0.869867     -1.00555      -0.8432      -0.968        -0.87808     -0.7328       -1.08405     -0.7376      -1.05813     -1.09429     -0.722773     -1.1024       -0.673707     -0.862933    -0.9808        -0.96928     -0.90176      -0.882347    -0.96928      -1.00789     -0.829227     -0.96192       -0.86784     -0.85952     -0.95584     -0.820587     -0.9248       -0.638933     -1.07424      -0.925227    -0.85536     -0.863893    -0.907413    -0.862507     -0.904533    -0.824213     -0.9424      -0.817493    -0.997653     -0.802453      -1.00011     -0.913707     -0.926933
92    0.478177     1096.   0.44961       0.01502      0.4685        0.004574     0.517927      0.450809     0.326847     0.261041      0.807608      0.408395     0.615216     0.832313     0.661784     0.689768     0.43791       0.469611      0.553126      0.44272       0.611718      0.419545      0.646699     0.468955      0.599257     0.753389      0.344775     0.754263     0.350459     0.315916     0.794272      0.314386      0.862046      0.588763     0.468518       0.466769     0.56056       0.579143     0.462178      0.453214     0.626366      0.510057       0.569742     0.629427     0.46021      0.650197      0.530826      0.892654      0.33756       0.510494     0.637298     0.602317     0.540227     0.628771      0.501312     0.633144      0.502405     0.703979     0.32007       0.719502       0.412331     0.548972      0.531701
93    0.516571     1184.   0.25667       0.008461     0.2669        0.002639     0.0310724     -0.0575976   -0.159151    -0.274725     0.352027      -0.0943539   0.093975     0.308829     0.162183     0.203107     -0.101933     -0.0594922    0.0545661     -0.055324     0.116332      -0.0951118    0.15233      -0.0409246    0.0985222    0.228875      -0.150815    0.225464     -0.129216    -0.20917     0.29784       -0.183024     0.338007      0.0557029    -0.00985222    -0.0356196   0.060629      0.0879121    -0.0447139    -0.0310724   0.0712391     0.00530504     0.0193255    0.150815     -0.0636605   0.134521      0.0269041     0.38651       -0.164077     0.0181887    0.148162     0.10989      0.0287988    0.156878      -0.055324    0.122016      0.00530504   0.252368     -0.328912     0.226222       -0.071618    0.0231148     0.0306934
94    0.55671      1276.   0.14529       0.00482      0.1507        0.001516     -0.596966     -0.685356    -0.788918    -0.938654     -0.252639     -0.763852    -0.532322    -0.37533     -0.550792    -0.492744    -0.721636     -0.671504     -0.610158     -0.717678     -0.55277      -0.703826     -0.486148    -0.668865     -0.58905     -0.476913     -0.753958    -0.42942     -0.779024    -0.828496    -0.436016     -0.771768     -0.323219     -0.622032    -0.632586      -0.674142    -0.627309     -0.609499    -0.701847     -0.680739    -0.600923     -0.582454      -0.6781      -0.46438     -0.690633    -0.515172     -0.645778     -0.32058      -0.742084     -0.686675    -0.529024    -0.576517    -0.612797    -0.478232     -0.74934     -0.598285     -0.658971    -0.401055    -1.05739      -0.453166      -0.691293    -0.614116     -0.610158
95    0.598594     1372.   0.081615      0.002769     0.08452       0.000878     -0.672437     -0.753531    -0.807745    -0.97221      -0.276424     -0.833371    -0.587927    -0.479954    -0.591002    -0.527677    -0.783257     -0.715376     -0.678132     -0.74533      -0.594875     -0.771298     -0.571185    -0.717768     -0.628929    -0.553189     -0.77574     -0.531321    -0.776993    -0.822551    -0.492483     -0.799658     -0.463895     -0.688497    -0.655239      -0.731663    -0.655125     -0.644191    -0.71139      -0.669932    -0.686674     -0.636105      -0.740661    -0.524146    -0.776765    -0.594875     -0.678018     -0.45         -0.77779      -0.721412    -0.564237    -0.615718    -0.654897    -0.518793     -0.850569    -0.646811     -0.663212    -0.411162    -1.16538      -0.494875      -0.733713    -0.678474     -0.666856
96    0.643096     1474.   0.045524      0.001607     0.04704       0.0005116    -0.954261     -1.01798     -1.0387      -1.21052      -0.556294     -1.09285     -0.859656    -0.835223    -0.892299    -0.826036    -1.03518      -0.975567     -0.962666     -1.00938      -0.870407     -1.02619      -0.860047    -0.987881     -0.904418    -0.870993     -1.01036     -0.859265    -1.00567     -1.04574     -0.842064     -1.01192      -0.821149     -0.991204    -0.899922      -0.994918    -0.933151     -0.940188    -0.965794     -0.901681    -0.992181     -0.884089      -1.03382     -0.805512    -1.04496     -0.890344     -0.942338     -0.820172     -0.999218     -0.996286    -0.863565    -0.88448     -0.94527     -0.802385     -1.15031     -0.934715     -0.940579    -0.664777    -1.4441       -0.787529      -0.969312    -0.957389     -0.946833
97    0.689343     1580.   0.0253        0.0009409    0.02605       0.0003059    -1.97973      -2.02125     -2.04086     -2.17457      -1.66362      -2.08598     -1.92187     -1.97581     -1.9696      -1.91827     -2.04119      -1.99183      -2.01406      -2.02615      -1.93527      -2.03432      -1.92939     -1.99412      -1.97646     -1.9526       -1.99738     -1.98333     -1.97941     -2.00686     -1.96633      -1.97091      -1.97385      -2.05263     -1.91206       -2.01765     -1.97516      -1.99967     -1.98725      -1.94279     -2.06702      -1.91729       -2.08107     -1.86728     -2.06505     -1.96502      -1.97875      -1.98496      -1.98333      -2.02648     -1.94508     -1.95391     -1.98594     -1.84734      -2.1811      -2.02158      -1.98267     -1.73782     -2.41844      -1.90029       -1.97973     -1.99869      -1.983
98    0.738208     1692.   0.013661      0.0005499    0.01402       0.0001841    -1.45084      -1.48941     -1.44813     -1.5975       -1.21836      -1.51494     -1.41879     -1.52146     -1.53178     -1.42857     -1.48561      -1.43237      -1.50407      -1.49919      -1.46605      -1.48561      -1.43835     -1.46605      -1.46496     -1.53123      -1.43672     -1.49864     -1.43292     -1.44813     -1.52797      -1.37208      -1.566        -1.56437     -1.38729       -1.45301     -1.47366      -1.50353     -1.41662      -1.42042     -1.56274      -1.38294       -1.58338     -1.4101      -1.50027     -1.50353      -1.4465       -1.55894      -1.42042      -1.50896     -1.4742      -1.45845     -1.48886     -1.37806      -1.63335     -1.51602      -1.45627     -1.25638     -1.78273      -1.42531       -1.39761     -1.5019       -1.478
99    0.78969      1810.   0.0072996     0.0003249    0.007461      0.0001138    -1.66968      -1.64649     -1.62953     -1.67663      -1.54288      -1.68805     -1.67645     -1.81151     -1.75562     -1.70026     -1.67223      -1.64947      -1.69947      -1.65492      -1.6761       -1.64763      -1.68427     -1.65808      -1.69007     -1.74895      -1.60756     -1.78656     -1.58409     -1.56459     -1.79824      -1.49323      -1.87223      -1.75518     -1.58304       -1.63726     -1.69042      -1.71687     -1.62232      -1.5942      -1.76634      -1.59297       -1.77047     -1.6623      -1.67548     -1.74525      -1.65211      -1.87891      -1.55211      -1.69517     -1.69306     -1.66793     -1.68436     -1.62504      -1.79411     -1.7152       -1.66828     -1.53787     -1.85211      -1.6964        -1.60158     -1.70149      -1.65756
100   0.84379      1934.   0.0036991     0.0001861    0.003763      0.000071     -0.156197     -0.112817    -0.0859155   -0.078169     -0.147042     -0.129437    -0.196901    -0.374789    -0.271831    -0.233944    -0.132817     -0.128592     -0.192535     -0.120141     -0.188592     -0.1          -0.207746    -0.130423     -0.184225    -0.270282     -0.0807042   -0.319014    -0.0319718   -0.0015493   -0.361549     0.0876056     -0.458451     -0.240282    -0.0756338     -0.105775    -0.18338      -0.208732    -0.104225     -0.0930986   -0.253099     -0.0946479     -0.244366    -0.205634    -0.131831    -0.26         -0.142394     -0.455775     -0.0133803    -0.176197    -0.219859    -0.179859    -0.176056    -0.15831      -0.238732    -0.203239     -0.171127    -0.102817    -0.182676     -0.235915      -0.086338    -0.195211     -0.136761
101   0.900508     2064.   0.0019694     0.0001135    0.001991      0.00004748   -2.14848      -2.08319     -2.04655     -1.98757      -2.22367      -2.07308     -2.19819     -2.38037     -2.27254     -2.24221     -2.08762      -2.09941      -2.16702      -2.09562      -2.19229      -2.05666      -2.21251     -2.1032       -2.17207     -2.26601      -2.04865     -2.33698     -1.99726     -1.96356     -2.36921      -1.86731      -2.48673      -2.21946     -2.05897       -2.06719     -2.16323      -2.19292     -2.07772      -2.0834      -2.21735      -2.0834        -2.1984      -2.21967     -2.09436     -2.25716      -2.12342      -2.47241      -1.9821       -2.12974     -2.21546     -2.17692     -2.14722     -2.17439      -2.17165     -2.18682      -2.15249     -2.15965     -2.03665      -2.25674       -2.07477     -2.16723      -2.12911
102   0.960717     2202.   0.00093867    0.00006418   0.0009406     0.00003039   -0.736591     -0.658177    -0.63952     -0.539026     -0.907568     -0.646825    -0.805791    -1.00398     -0.862323    -0.866502    -0.668509     -0.687759     -0.756367     -0.672162     -0.795262     -0.644061     -0.829319    -0.707963     -0.773906    -0.864956     -0.64541     -0.941099    -0.590852    -0.53873     -0.983383     -0.445344     -1.11589      -0.796117    -0.674498      -0.659197    -0.77259      -0.800197    -0.667785     -0.697466    -0.791214     -0.70566       -0.770451    -0.853801    -0.663047    -0.859164     -0.717275     -1.0795       -0.588417     -0.715564    -0.841527    -0.80227     -0.745245    -0.809181     -0.731556    -0.776275     -0.753965    -0.837776    -0.518394     -0.870418      -0.694538    -0.758934     -0.724548
111   0.120847     168.    20913.        1588.        23980.        262.         4.68855       4.66718      4.62099      4.63702       5.14198       4.54885      4.84046      4.00725      5.28855      4.69389      4.65267       4.58359       4.76412       4.62366       4.84046       4.62977       4.76947      4.71336       4.66336      4.94924       4.47557      4.67557      4.70611      4.87786      4.46641       4.74885       4.67824       4.78473      4.60725        4.75534      4.65115       4.69771      4.6813        4.74924      4.66412       4.61183        4.82061      4.57405      4.74008      4.80687       4.64198       4.46069       4.76412       4.58893      4.88931      4.5458       4.81641      5.1042        4.54695      4.75954       4.71641      5.50229      4.71107       4.88702        4.59084      4.77557       4.62481
112   0.139549     194.    10992.        798.1        12460.        152.8        0.503272      0.51178      0.490838     0.515707      0.820681      0.422775     0.614529     -0.138089    0.94699      0.435209     0.52356       0.45288       0.580497      0.467277      0.619764      0.454843      0.534686     0.532723      0.467932     0.696335      0.308246     0.448953     0.548429     0.719895     0.267016      0.615183      0.379581      0.561518     0.430628       0.57199      0.46466       0.5          0.503927      0.575916     0.444372      0.432592       0.568717     0.377618     0.563482     0.554319      0.463351      0.187827      0.594895      0.473168     0.579843     0.393979     0.570026     0.849476      0.414921     0.554974      0.54712      1.1695       0.643979      0.652487       0.421466     0.516361      0.471204
113   0.164006     228.    4891.4        338.         5518.         80.15        1.04754       1.06725      1.06513      1.14648       1.20449       1.00262      1.10618      0.449158     1.38129      0.971928     1.06376       1.00699       1.08397       1.02021       1.0922        1.06313       1.03855      1.09245       0.993263     1.18715       0.911666     0.956956     1.11691      1.24242      0.806987      1.22545       0.86937       1.10119      1.0136         1.12489      1.01085       1.02633      1.07461       1.1461       0.960574      1.01497        1.10954      0.915159     1.12127      1.06999       1.03793       0.716532      1.16893       1.01946      1.08871      0.92514      1.12314      1.29407       0.987274     1.10131       1.05078      1.5345       1.2554        1.12527        0.945477     1.06887       1.03518
114   0.191341     266.    2157.         144.1        2411.         46.7         -0.6          -0.580086    -0.581799    -0.479872     -0.560814     -0.609636    -0.577088    -1.01413     -0.382441    -0.670021    -0.564454     -0.621627     -0.584797     -0.606852     -0.574304     -0.578587     -0.616488    -0.556103     -0.631263    -0.494218     -0.707709    -0.677516    -0.54818     -0.45803     -0.768308     -0.451178     -0.760385     -0.556103    -0.641756      -0.532976    -0.626124     -0.620557    -0.566595     -0.526338    -0.676231     -0.634475      -0.540257    -0.715632    -0.538758    -0.599143     -0.607281     -0.855032     -0.491006     -0.614775    -0.60364     -0.674946    -0.550749    -0.449465     -0.601071    -0.53833      -0.617773    -0.285011    -0.353533     -0.575589      -0.666809    -0.602998     -0.591863
115   0.220114     306.    958.49        58.23        1065.         10.89        -0.564738     -0.594123    -0.538108    -0.257117     -0.683196     -0.504132    -0.595041    -1.29844     -0.250689    -0.764004    -0.501377     -0.651974     -0.517906     -0.582185     -0.582185     -0.556474     -0.61157     -0.545455     -0.695133    -0.395776     -0.783287    -0.679522    -0.507805    -0.359045    -0.894399     -0.372819     -0.891644     -0.485767    -0.629017      -0.491276    -0.609734     -0.601469    -0.552801     -0.420569    -0.682277     -0.662075      -0.453627    -0.855831    -0.410468    -0.610652     -0.642792     -1.00918      -0.416896     -0.601469    -0.591368    -0.714417    -0.557392    -0.360882     -0.532599    -0.494031     -0.652893    -0.0808081   0.0413223     -0.539027      -0.740129    -0.584022     -0.556474
116   0.250325     348.    446.          25.84        493.2         5.669        0.559887      0.594285     0.609984     0.850062      0.410302      0.646851     0.536426     0.0400423    0.820603     0.396013     0.630446      0.527253      0.602046      0.568883      0.563591      0.611219      0.488799     0.624978      0.495149     0.711942      0.399894     0.469924     0.610866     0.760804     0.330393      0.765038      0.324396      0.648968     0.478038       0.643853     0.528841      0.519139     0.608397      0.645087     0.491797      0.479097       0.678956     0.327395     0.703122     0.535015      0.556006      0.211148      0.71353       0.586876     0.503263     0.452284     0.598165     0.641383      0.708414     0.680014      0.506262     0.836832     1.20198       0.544188       0.452637     0.564121      0.573293
117   0.281976     392.    221.14        12.34        243.          3.292        0.009113      0.0458688    0.0355407    0.266403      -0.167072     0.126063     -0.0145808   -0.261543    0.146112     -0.102673    0.0798906     0.00972053    0.0558931     0.0224787     -0.00425273   0.0540705     -0.0388821   0.0756379     -0.0109356   0.159478      -0.0987242   -0.027339    0.0206561    0.14277      -0.12181      0.143985      -0.129708     0.106622     -0.0589307     0.0616646    -0.00789793   -0.0164034   0.06774       0.0391859    0.014277      -0.0464763     0.117254     -0.174058    0.13791      -0.00486027   0.0340219     -0.190158     0.0917375     0.0528554    -0.0446537   -0.0370595   0.0397934    0.0230863     0.194107     0.139733      -0.0400972   0.138214     0.594775      -0.000607533   -0.0501215   0.00972053    0.0239976
118   0.316503     440.    111.75        6.058        122.          2.019        0.0817236     0.113422     0.0668648    0.231798      -0.154037     0.166419     0.0376424    -0.0104012   0.110946     0.0183259    0.0995542     0.0529965     0.0792472     0.0876672     0.0539871     0.0817236     0.0544824    0.118375      0.0341753    0.142645      -0.0138683   0.055473     0.0569589    0.107974     0.0406142     0.165428      -0.00792472   0.126795     0.0178306      0.0827142    0.0762754     0.0693413    0.11788       0.0668648    0.116394      0.0257553      0.15899      -0.0718177   0.161466     0.0718177     0.0624071     -0.0173353    0.0866766     0.105498     0.00643883   0.0579495    0.0837048    0.0104012     0.225359     0.163447      0.0406142    0.0762754    0.525508      0.0183259      0.0282318    0.0574542     0.0653789
119   0.352469     490.    57.023        2.849        61.87         0.6113       0.579094      0.579912     0.5575       0.797644      0.211026      0.72763      0.470146     0.63913      0.535743     0.486995     0.624243      0.566498      0.598724      0.592999      0.52053       0.601341      0.514314     0.573859      0.568297     0.699002      0.439228     0.602159     0.521675     0.561917     0.583183      0.619009      0.469491      0.666449     0.488304       0.584492     0.568788      0.550303     0.592999      0.500082     0.66514       0.47538        0.696385     0.400294     0.682807     0.545068      0.58531       0.564535      0.547031      0.665631     0.435956     0.564371     0.551121     0.40831       0.866841     0.727793      0.476362     0.397513     1.25765       0.511042       0.479143     0.548503      0.582693
